步履不停,2008,250856人评价
黑客帝国2：重装上阵,22,371118人评价
彗星来的那一夜,2013,504728人评价
战争之王,2005,330497人评价
崖上的波妞,2008,432852人评价
心灵奇旅,2020,857307人评价
爱乐之城,2016,789586人评价
谍影重重2,2,322728人评价
燃情岁月,1994,264074人评价
阿飞正传,1990,459808人评价
海洋,2009,149010人评价
谍影重重,2002,387829人评价
再次出发之纽约遇见你,2013,392330人评价
穿越时空的少女,2006,352663人评价
火星救援,2015,647646人评价
香水,2006,505672人评价
朗读者,2008,425736人评价
末路狂花,1991,211079人评价
地球上的星星,2007,188367人评价
我爱你,2011,151058人评价
完美陌生人,2016,488144人评价
千年女优,2001,225656人评价
驴得水,2016,847334人评价
聚焦,2015,253223人评价
浪潮,2008,253028人评价
肖申克的救赎,1995,2620035人评价
霸王别姬,1993,1945398人评价
阿甘正传,1994,1969789人评价
泰坦尼克号,1997,1930044人评价
这个杀手不太冷,1994,2121147人评价
美丽人生,1997,1210491人评价
千与千寻,2001,2046317人评价
辛德勒的名单,39,1009807人评价
盗梦空间,2010,1887677人评价
忠犬八公的故事,39,1291539人评价
星际穿越,2014,1578424人评价
楚门的世界,1998,1500987人评价
海上钢琴师,39,1535464人评价
三傻大闹宝莱坞,3,1712807人评价
机器人总动员,2008,1209007人评价
放牛班的春天,2004,1194728人评价
无间道,2002,1212246人评价
疯狂动物城,2016,1725584人评价
大话西游之大圣娶亲,1995,1401877人评价
熔炉,2011,853689人评价
控方证人,1957,460700人评价
教父,39,869494人评价
当幸福来敲门,2006,1391720人评价
触不可及,2011,973307人评价
怦然心动,2010,1667819人评价
龙猫,1988,1156217人评价
末代皇帝,1987,777970人评价
寻梦环游记,2017,1487996人评价
蝙蝠侠：黑暗骑士,2,963532人评价
活着,1994,750231人评价
哈利·波特与魔法石,39,1045915人评价
指环王3：王者无敌,2003,729135人评价
乱世佳人,1939,629646人评价
素媛,2013,617923人评价
飞屋环游记,2009,1209807人评价
摔跤吧！爸爸,3,1437568人评价
我不是药神,2018,1916891人评价
何以为家,2018,942853人评价
十二怒汉,12,433612人评价
哈尔的移动城堡,2004,916084人评价
少年派的奇幻漂流,2012,1244725人评价
鬼子来了,2000,563959人评价
大话西游之月光宝盒,101,1117838人评价
猫鼠游戏,2002,885322人评价
天空之城,1986,751077人评价
天堂电影院,1988,629471人评价
闻香识女人,1992,793708人评价
指环王2：双塔奇兵,2002,680787人评价
钢琴家,2002,547597人评价
让子弹飞,2010,1519896人评价
罗马假日,1953,877043人评价
海蒂和爷爷,2015,491457人评价
指环王1：护戒使者,1,769369人评价
黑客帝国,22,766080人评价
大闹天宫,1961,386218人评价
教父2,1974,492567人评价
死亡诗社,1989,641075人评价
辩护人,2013,542483人评价
狮子王,3,758213人评价
绿皮书,2018,1464241人评价
搏击俱乐部,1999,774014人评价
饮食男女,1994,553949人评价
美丽心灵,2001,699874人评价
本杰明·巴顿奇事,2008,898896人评价
窃听风暴,2006,513186人评价
情书,1995,980040人评价
穿条纹睡衣的男孩,2008,496011人评价
两杆大烟枪,1998,547562人评价
西西里的美丽传说,2000,889850人评价
看不见的客人,2016,1134559人评价
拯救大兵瑞恩,1998,590157人评价
音乐之声,1965,545914人评价
飞越疯人院,39,508554人评价
小鞋子,1997,371417人评价
阿凡达,2009,1265369人评价
哈利·波特与死亡圣器(下),2,739818人评价
沉默的羔羊,1991,797041人评价
海豚湾,2009,335781人评价
致命魔术,2006,781942人评价
禁闭岛,2010,877252人评价
布达佩斯大饭店,2014,831141人评价
蝴蝶效应,2004,852028人评价
美国往事,1984,376299人评价
心灵捕手,1997,643963人评价
低俗小说,1994,756993人评价
春光乍泄,1997,571769人评价
摩登时代,1936,269455人评价
七宗罪,7,870906人评价
喜剧之王,1999,876995人评价
致命ID,2003,739229人评价
杀人回忆,2003,631067人评价
功夫,3,979387人评价
哈利·波特与阿兹卡班的囚徒,3,628167人评价
超脱,2011,500292人评价
加勒比海盗,1,784063人评价
被嫌弃的松子的一生,2006,652801人评价
红辣椒,2006,402292人评价
狩猎,2012,346564人评价
请以你的名字呼唤我,2017,644889人评价
7号房的礼物,7,501502人评价
剪刀手爱德华,1990,967641人评价
勇敢的心,1995,525677人评价
断背山,2005,653805人评价
唐伯虎点秋香,1993,970639人评价
入殓师,2008,603751人评价
第六感,1999,504819人评价
天使爱美丽,39,905607人评价
哈利·波特与密室,2,654333人评价
重庆森林,1994,728813人评价
爱在黎明破晓前,1995,599506人评价
一一,2000,334851人评价
幽灵公主,1997,479662人评价
蝙蝠侠：黑暗骑士崛起,3,656466人评价
小森林 夏秋篇,2014,387937人评价
阳光灿烂的日子,1994,561066人评价
菊次郎的夏天,1999,535651人评价
超能陆战队,6,919241人评价
完美的世界,1993,278061人评价
无人知晓,2004,283048人评价
消失的爱人,2014,840031人评价
爱在日落黄昏时,2004,494115人评价
小森林 冬春篇,2015,347056人评价
借东西的小人阿莉埃蒂,2010,498358人评价
倩女幽魂,87,668518人评价
甜蜜蜜,1996,475711人评价
侧耳倾听,1995,418395人评价
幸福终点站,2004,511046人评价
时空恋旅人,2013,584717人评价
